"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Germany","DEU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","22","22","18","17.5","17.5","14.5","14.5","14.5","14.5","14.5","10.5","8","8","8","8",
"Djibouti","DJI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","37","37","37","37","37","17","14","14","14","14","14","14",
"Dominica","DMA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","13","13","13","12","12","12","12","12","12","12","12","12",
"Denmark","DNK","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","7.5","6.5","6.5","6.5","6.5","6.5","6","6","6","6","6","3.5","3.5","3.5","3.5","3.5",
"Dominican Republic","DOM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","79","76","76","25","15","16","15","14.5","14.5","14.5","14.5","14.5","18.5","16.5","16.5","16.5",
"Algeria","DZA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","24","22","22","22","22","22","22","22","22","22","20","18","18","18","18","18",
"East Asia & Pacific (excluding high income)","EAP","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.65625","52.5588235294118","51.9705882352941","51.0882352941176","47.9117647058824","47.6764705882353","45.9705882352941","42.7941176470588","38.5","39.8055555555556","41.59","36.135","36.105","33.235","32.345","30.45","29.7",
"Early-demographic dividend","EAR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.8590909090909","61.3733333333333","68.8452830188679","65.0905660377359","59.4203703703704","55.6055555555556","52.7518518518519","50.437037037037","49.2148148148148","49.2607142857143","38.1803278688525","35.1213114754098","35.5311475409836","35.0377049180328","34.0459016393443","32.1885245901639","30.8229508196721",
"East Asia & Pacific","EAS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8913043478261","42.3541666666667","42.5625","45.28","42.36","41.42","39.14","36.18","32.56","33.6538461538462","34.548275862069","30.7689655172414","27.6137931034483","25.6310344827586","24.948275862069","23.3655172413793","22.8344827586207",
"Europe & Central Asia (excluding high income)","ECA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.3125","43.03125","43.1470588235294","35.9166666666667","30.9166666666667","26.8611111111111","22.0789473684211","21.1842105263158","19.3421052631579","18.2368421052632","16.21","15.3","13.065","12.855","12.155","12.73","11.78",
"Europe & Central Asia","ECS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8536585365854","38.9166666666667","33.953488372093","29.0888888888889","25.0777777777778","21.3152173913043","18.9468085106383","18.0744680851064","16.6170212765957","16.625","15.5040816326531","14.2040816326531","12.2612244897959","11.8795918367347","11.5938775510204","12.552","11.762",
"Ecuador","ECU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","69","65","65","65","64","56","55.5","55.5","55.5","55.5","50.5","48.5","48.5","48.5","48.5",
"Egypt, Arab Rep.","EGY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5","42.5","26.5","23.5","17.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","16.5","16.5","16.5","11.5","12.5",
"Euro area","EMU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.78125","41.65625","30.28125","26.5","22.9705882352941","18.0833333333333","17.1944444444444","16","15.5526315789474","15.1578947368421","14.4210526315789","12.3947368421053","11.4210526315789","10.8947368421053","10.3684210526316","10.4473684210526","9.81578947368421",
"Eritrea","ERI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","76","76","83","84","84","84","84","84","84","84","84","84","84","84","84",
"Spain","ESP","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","137","70","60","60","61","61","52","29","30","24","14","14","13","13","12.5","12.5",
"Estonia","EST","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","72","35","35","6.5","6.5","6.5","6.5","6.5","6.5","6.5","4.5","3.5","3.5","3.5","3.5","3.5",
"Ethiopia","ETH","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","35","35","19","19","19","20","20","40","40","39","39","35","35","33","32","32",
"European Union","EUU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.12","38.88","29.82","26.25","22.6153846153846","19.7037037037037","17.5925925925926","16.7037037037037","16.4464285714286","16.1964285714286","15.625","14.0535714285714","12.9285714285714","12.4285714285714","12.0714285714286","12.9642857142857","11.8928571428571",
"Fragile and conflict affected situations","FCS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.3684210526316","64.96","67.8103448275862","66.25","62.75","61.5833333333333","59.3064516129032","53.0161290322581","43.6290322580645","41.0441176470588","34.8382352941176","29.6323529411765","28.9428571428571","28.3714285714286","27.0428571428571","26.4","25.4457142857143",
"Finland","FIN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","13",
"Fiji","FJI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","44","44","44","44","44","44","44","58","58","58","58","40","40","40","40",
"France","FRA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","7","7","7","7","6.5","6.5","6.5","6.5","6.5","6.5","4.5","4","3.5","3.5","3.5","4",
"Faroe Islands","FRO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16",
"Gabon","GAB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","54","54","54","54","54","54","47","47","47","47","33","31","10",
"United Kingdom","GBR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","6","4.5","4.5","4.5","4.5","4.5",
"Georgia","GEO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","21","16","11","3","3","3","2","2","2","2","2","2","2","2","1",
"Ghana","GHA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","17","17","13","11","11","11","11","11","14","14","14","14","14","14","13",
"Gibraltar","GIB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","40","40","40","40","40","40","40","40","43","23","15","15","15","15","15","15",
"Gambia, The","GMB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","27","32","27","27","27","27","27","27","26","25","25","25","25","8",
"Guinea-Bissau","GNB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","259.5","260.5","259.5","259.5","216.5","216.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5",
"Equatorial Guinea","GNQ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155","155","155","155","155","155","150","150","150","150","150","149","33","33","33",
"Greece","GRC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","38","38","19","19","19","11","11","14","13","13","13","12.5","12.5","4",
"Grenada","GRD","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","19","19","19","14","14","14","15","15","15","15","15","15","12",
"Greenland","GRL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","37","36","36","36","36","36","36","26.5","26.5","26.5","26.5","26.5","15","15",
"Guam","GUM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","37","38","27","23","19","18","18","18","18","18","18","18","18",
"High income","HIC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9714285714286","31.9720930232558","27.9872340425532","26.8938775510204","23.6615384615385","20.8849056603774","20.1660377358491","19.1094339622641","16.7581818181818","16.9410714285714","16.1551724137931","14.8534482758621","12.3137931034483","12.2068965517241","11.5258620689655","11.8389830508475","10.8864406779661",
"Hong Kong SAR, China","HKG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","11","11","6","6","2.5","2.5","2.5","2.5","1.5","1.5","1.5","1.5","1.5",
"Honduras","HND","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","61","69","57","20","20","14","43","43","43","43","43","41","42","42","42","42",
"Heavily indebted poor countries (HIPC)","HPC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2586206896552","55.8970588235294","59.1351351351351","56.2894736842105","50.6052631578947","50.0394736842105","47.6184210526316","44.0921052631579","33.8289473684211","32.3684210526316","26.7368421052632","23.4473684210526","24.1666666666667","23.5769230769231","22.9871794871795","23.025641025641","22.5384615384615",
"Croatia","HRV","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","29","29","25","22.5","22.5","22.5","20.5","20","22.5","22.5","22.5","22.5","22.5","22.5","22.5","19.5",
"Haiti","HTI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260","202","202","202","202","224","224","134","134","134","97","97","97","97","97","97","97",
"Hungary","HUN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","39","39","17","6","5","5","5","7","7","7","7","7","7","7","7",
"IBRD only","IBD","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.4893617021277","53.1122448979592","61.6293103448276","56.8559322033898","53.0254237288136","48.8050847457627","46.1864406779661","45.5338983050847","42.8559322033898","41.95","33.2075757575758","30.5712121212121","29.8909090909091","29.919696969697","27.2454545454545","24.85","23.9090909090909",
"IDA & IBRD total","IBT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3622448979592","54.2452830188679","57.916","54.4212598425197","50.1614173228346","46.9763779527559","44.35546875","42.3125","37.3984375","36.7022900763359","30.645","27.6928571428571","27.5078014184397","27.0078014184397","25.2524822695035","23.8475177304965","22.9645390070922",
"IDA total","IDA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2450980392157","55.219298245614","54.7014925373134","52.3088235294118","47.6764705882353","45.3897058823529","42.7898550724638","39.5579710144928","32.731884057971","32.2676056338028","28.3594594594595","25.1256756756757","25.4106666666667","24.4453333333333","23.4986666666667","22.9653333333333","22.1333333333333",
"IDA blend","IDB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.1666666666667","55.05","46.5","45.9666666666667","42.7","49.3333333333333","46.4","41","39.4","40.0666666666667","34.8117647058824","27.2235294117647","26.5176470588235","24.0823529411765","21.7882352941176","19.0823529411765","17.8647058823529",
